rank,SASRec,BERT4Rec,"gSASRec (256 negatives, t=1.0)"
2239,0.00022819076548330486,5.578536388384236e-07,4.6708788659088896e-07
2240,0.00022746133618056774,5.578179980147979e-07,4.655736347558559e-07
2241,0.0002267413801746443,5.562673095482751e-07,4.613645216977602e-07
2242,0.00022654513304587454,5.561850571211835e-07,4.6054950075813395e-07
2243,0.0002246062213089317,5.560121962844278e-07,4.580654149322072e-07
2244,0.00022420827008318156,5.55324390916212e-07,4.578762968776573e-07
2245,0.00022393737162929028,5.522479682440462e-07,4.551526728846511e-07
2246,0.00022334052482619882,5.513838914339431e-07,4.5429575834532443e-07
2247,0.00022218299272935838,5.499832695932128e-07,4.5231578837956476e-07
2248,0.00022152977180667222,5.461338332679588e-07,4.5049179675515916e-07
2249,0.00022119125060271472,5.448057436296949e-07,4.4565166490428965e-07
2250,0.00021768260921817273,5.422352842288092e-07,4.452081725503376e-07
2251,0.00021577034203801304,5.414482870946813e-07,4.4493185669125523e-07
2252,0.00021349472808651626,5.399184033194615e-07,4.43452989884463e-07
2253,0.0002109226625179872,5.390278374761692e-07,4.42540056155849e-07
2254,0.0002104812883771956,5.38731853794161e-07,4.412912630868959e-07
2255,0.00020971745834685862,5.336316917237127e-07,4.408429106206313e-07
2256,0.0002077747049042955,5.318626676853455e-07,4.40477322172228e-07
2257,0.00020748704264406115,5.27846452769154e-07,4.3947235894847836e-07
2258,0.00020663987379521132,5.275229000289983e-07,4.3908318048124784e-07
2259,0.0002060954284388572,5.258236797089921e-07,4.2961065105373564e-07
2260,0.00020450302690733224,5.250760182207159e-07,4.288398542939831e-07
2261,0.00020390216377563775,5.23417156728101e-07,4.274165519291273e-07
2262,0.0002022834960371256,5.221144760980678e-07,4.257579178101878e-07
2263,0.000201343500521034,5.217854663897015e-07,4.2495759089433705e-07
2264,0.00020132141071371734,5.204734065955563e-07,4.2338319872214925e-07
2265,0.00020094819774385542,5.197284167479665e-07,4.2228032270941185e-07
2266,0.000200361231691204,5.195786911826872e-07,4.221865026465821e-07
2267,0.0002003054687520489,5.177421940061322e-07,4.2198681171612407e-07
2268,0.00019994309695903212,5.174988473299891e-07,4.1934748651328846e-07
2269,0.0001996630453504622,5.164653771316807e-07,4.1917434145943844e-07
